value_norm,Akkademia_df,CDLI_df,Cuneiml_df,Nuolenna_df,TextFabric_df,osl_df,wiki_df,oslID
(gazag),,,𒃜,,,,,
(gigir3),,,𒇕,,,,,
(gišbar),,,𒀣,,,,,
(gud2),,,𒊥,,,,,
(gug5),,,𒈙,,,,,
(gugu2),,,𒂭,,,,,
(gukin),,,𒇐,,,,,
(gumgum),,,𒈞,,,,,
(guru17),,,𒄕,,,,,
(gurun),,,𒄧,,,,,
(habrud2),,,𒆡,,,,,
(halubba),,,𒃑,,,,,
(hibira),,,𒀤,,,,,
(hibis2),,,𒀨,,,,,
(hilibu),,,𒂌,,,,,
(i),,,𒄿,,,,,
(iku),,,𒃷,,,,,
(iku2),,,𒂽,,,,,
(ildag2),,,𒄟,,,,,
(išhuru5),,,𒃗,,,,,
(karadin),,,𒌄,,,,,
(karadin2),,,𒊼,,,,,
(karadin3),,,𒊽,,,,,
(kaskal.lagab×u)&(kaskal.lagab×u),,𒆞,,𒆞,,,,
(ki),,,𒆠,,,,,
(kid7),,,𒅏,,,,,
(kinda),,,𒃱,,,,,
(kisim5),,,𒆨,,,,,
(kunin3),,,𒇁,,,,,
(lahtan),,,𒉴,,,,,
(lidim),,,𒀢,,,,,
(lubun),,,𒂲,,,,,
(lugud3),,,𒈟,,,,,
(me7),,,𒃙,,,,,
(meze),,,𒀙,,,,,
(muh2),,,𒊚,,,,,
(munu3),,,𒃅,,,,,
(mur7),,,𒈱,,,,,
(muš&muš)×ga,,𒔤,,𒔤,,,,
(muš&muš)×kak,,𒔥,,𒔥,,,,
(muššagana),,,𒇚,,,,,
(muššagana2),,,𒇞,,,,,
(nib),,,𒊋,,,,,
(nug2),,,𒋊,,,,,
(nun.lagar×sal)&(nun.lagar×sal),,𒉧,,𒉧,,,,
(sabad),,,𒃪,,,,,
(sabad2),,,𒂿,,,,,
(sabad3),,,𒃖,,,,,
(samag),,,𒌝,,,,,
(samag2),,,𒌠,,,,,
(sidug),,,𒇂,,,,,
(sil6),,,𒂢,,,,,
(sil7),,,𒂣,,,,,
(silig2),,,𒋹,,,,,
(silig3),,,𒋸,,,,,
(silig4),,,𒋵,,,,,
(sur9),,,𒋪,,,,,
(tar),,,𒋻,,,,,
(tibir2),,,𒋷,,,,,
(tibir5),,,𒋵,,,,,
(tidnum),,,𒊎,,,,,
(udub),,,𒇛,,,,,
(ugra),,,𒇨,,,,,
(umun6),,,𒇊,,,,,
(uru10),,,𒊘,,,,,
(usan2),,,𒄝,,,,,
(uzug3),,,𒌑𒊕,,,,,
(uš6),,,𒉥,,,,,
(zi4),,,𒀓,,,,,
(zubud),,,𒄪,,,,,
(zubur),,,𒍭,,,,,
(šakir3),,,𒌼,,,,,
(šaqa2),,,𒋏,,,,,
(še.nun&nun)&(še.nun&nun),,𒌃,,𒌃,,,,
